Age,SD2neg,SD1neg,SD0,SD1,SD2
0,11.1,12.2,13.4,14.8,16.3
0.019178082,10.8,12.1,13.3,14.7,16.1
0.038356164,11.2,12.4,13.6,15,16.4
0.057534247,11.8,13,14.2,15.6,17
0.076712329,12.3,13.5,14.8,16.2,17.6
0.095890411,12.7,13.9,15.2,16.6,18.2
0.115068493,13,14.3,15.6,17,18.6
0.134246575,13.3,14.6,15.9,17.4,18.9
0.153424658,13.6,14.8,16.2,17.6,19.2
0.17260274,13.8,15,16.4,17.9,19.4
0.191780822,13.9,15.2,16.5,18,19.6
0.210958904,14,15.3,16.7,18.2,19.8
0.230136986,14.2,15.4,16.8,18.3,19.9
0.249315068,14.3,15.5,16.9,18.4,20
0.25,14.3,15.5,16.9,18.4,20
0.333333333,14.5,15.8,17.2,18.7,20.3
0.416666667,14.7,15.9,17.3,18.8,20.5
0.5,14.7,16,17.3,18.8,20.5
0.583333333,14.8,16,17.3,18.8,20.5
0.666666667,14.7,15.9,17.3,18.7,20.4
0.75,14.7,15.8,17.2,18.6,20.3
0.833333333,14.6,15.7,17,18.5,20.1
0.916666667,14.5,15.6,16.9,18.4,20
1,14.4,15.5,16.8,18.2,19.8
1.083333333,14.3,15.4,16.7,18.1,19.7
1.166666667,14.2,15.3,16.6,18,19.5
1.25,14.1,15.2,16.4,17.8,19.4
1.333333333,14,15.1,16.3,17.7,19.3
1.416666667,13.9,15,16.2,17.6,19.1
1.5,13.9,14.9,16.1,17.5,19
1.583333333,13.8,14.9,16.1,17.4,18.9
1.666666667,13.7,14.8,16,17.3,18.8
1.75,13.7,14.7,15.9,17.2,18.7
1.833333333,13.6,14.7,15.8,17.2,18.7
1.916666667,13.6,14.6,15.8,17.1,18.6
2,13.6,14.6,15.7,17,18.5
2.083333333,13.8,14.8,16,17.3,18.8
2.166666667,13.7,14.8,15.9,17.3,18.8
2.25,13.7,14.7,15.9,17.2,18.7
2.333333333,13.6,14.7,15.9,17.2,18.7
2.416666667,13.6,14.7,15.8,17.1,18.6
2.5,13.6,14.6,15.8,17.1,18.6
2.583333333,13.5,14.6,15.8,17.1,18.5
2.666666667,13.5,14.6,15.7,17,18.5
2.75,13.5,14.5,15.7,17,18.5
2.833333333,13.4,14.5,15.7,17,18.4
2.916666667,13.4,14.5,15.6,16.9,18.4
3,13.4,14.4,15.6,16.9,18.4
3.083333333,13.3,14.4,15.6,16.9,18.3
3.166666667,13.3,14.4,15.5,16.8,18.3
3.25,13.3,14.3,15.5,16.8,18.3
3.333333333,13.2,14.3,15.5,16.8,18.2
3.416666667,13.2,14.3,15.5,16.8,18.2
3.5,13.2,14.3,15.4,16.8,18.2
3.583333333,13.2,14.2,15.4,16.7,18.2
3.666666667,13.1,14.2,15.4,16.7,18.2
3.75,13.1,14.2,15.4,16.7,18.2
3.833333333,13.1,14.2,15.4,16.7,18.2
3.916666667,13.1,14.2,15.3,16.7,18.2
4,13.1,14.1,15.3,16.7,18.2
4.083333333,13,14.1,15.3,16.7,18.2
4.166666667,13,14.1,15.3,16.7,18.2
4.25,13,14.1,15.3,16.6,18.2
4.333333333,13,14.1,15.3,16.6,18.2
4.416666667,13,14.1,15.3,16.6,18.2
4.5,13,14,15.3,16.6,18.2
4.583333333,13,14,15.2,16.6,18.2
4.666666667,12.9,14,15.2,16.6,18.2
4.75,12.9,14,15.2,16.6,18.2
4.833333333,12.9,14,15.2,16.6,18.3
4.916666667,12.9,14,15.2,16.6,18.3
5,12.9,14,15.2,16.6,18.3
