Age,SD2neg,SD1neg,SD0,SD1,SD2
0,11.1,12.2,13.3,14.6,16.1
0.019178082,10.7,11.9,13.2,14.5,15.9
0.038356164,11,12.2,13.5,14.8,16.2
0.057534247,11.4,12.6,14,15.3,16.8
0.076712329,11.8,13.1,14.4,15.8,17.4
0.095890411,12.2,13.5,14.8,16.3,17.8
0.115068493,12.5,13.8,15.1,16.6,18.2
0.134246575,12.7,14,15.4,16.9,18.5
0.153424658,12.9,14.2,15.6,17.2,18.8
0.17260274,13.1,14.4,15.8,17.4,19
0.191780822,13.2,14.6,16,17.5,19.2
0.210958904,13.4,14.7,16.1,17.7,19.4
0.230136986,13.5,14.8,16.2,17.8,19.5
0.249315068,13.6,14.9,16.4,17.9,19.7
0.25,13.6,14.9,16.4,17.9,19.7
0.333333333,13.9,15.2,16.7,18.3,20
0.416666667,14.1,15.4,16.8,18.4,20.2
0.5,14.1,15.5,16.9,18.5,20.3
0.583333333,14.2,15.5,16.9,18.5,20.3
0.666666667,14.1,15.4,16.8,18.4,20.2
0.75,14.1,15.3,16.7,18.3,20.1
0.833333333,14,15.2,16.6,18.2,19.9
0.916666667,13.9,15.1,16.5,18,19.8
1,13.8,15,16.4,17.9,19.6
1.083333333,13.7,14.9,16.2,17.7,19.5
1.166666667,13.6,14.8,16.1,17.6,19.3
1.25,13.5,14.7,16,17.5,19.2
1.333333333,13.5,14.6,15.9,17.4,19.1
1.416666667,13.4,14.5,15.8,17.3,18.9
1.5,13.3,14.4,15.7,17.2,18.8
1.583333333,13.3,14.4,15.7,17.1,18.8
1.666666667,13.2,14.3,15.6,17,18.7
1.75,13.2,14.3,15.5,17,18.6
1.833333333,13.1,14.2,15.5,16.9,18.5
1.916666667,13.1,14.2,15.4,16.9,18.5
2,13.1,14.2,15.4,16.8,18.4
2.083333333,13.3,14.4,15.7,17.1,18.7
2.166666667,13.3,14.4,15.6,17,18.7
2.25,13.3,14.4,15.6,17,18.6
2.333333333,13.3,14.3,15.6,17,18.6
2.416666667,13.2,14.3,15.6,17,18.6
2.5,13.2,14.3,15.5,16.9,18.5
2.583333333,13.2,14.3,15.5,16.9,18.5
2.666666667,13.2,14.3,15.5,16.9,18.5
2.75,13.1,14.2,15.5,16.9,18.5
2.833333333,13.1,14.2,15.4,16.8,18.5
2.916666667,13.1,14.2,15.4,16.8,18.4
3,13.1,14.2,15.4,16.8,18.4
3.083333333,13.1,14.1,15.4,16.8,18.4
3.166666667,13,14.1,15.4,16.8,18.4
3.25,13,14.1,15.3,16.8,18.4
3.333333333,13,14.1,15.3,16.8,18.4
3.416666667,13,14.1,15.3,16.8,18.4
3.5,12.9,14,15.3,16.8,18.4
3.583333333,12.9,14,15.3,16.8,18.4
3.666666667,12.9,14,15.3,16.8,18.5
3.75,12.9,14,15.3,16.8,18.5
3.833333333,12.9,14,15.3,16.8,18.5
3.916666667,12.8,14,15.3,16.8,18.5
4,12.8,14,15.3,16.8,18.5
4.083333333,12.8,13.9,15.3,16.8,18.5
4.166666667,12.8,13.9,15.3,16.8,18.6
4.25,12.8,13.9,15.3,16.8,18.6
4.333333333,12.8,13.9,15.2,16.8,18.6
4.416666667,12.7,13.9,15.3,16.8,18.6
4.5,12.7,13.9,15.3,16.8,18.7
4.583333333,12.7,13.9,15.3,16.8,18.7
4.666666667,12.7,13.9,15.3,16.8,18.7
4.75,12.7,13.9,15.3,16.9,18.7
4.833333333,12.7,13.9,15.3,16.9,18.8
4.916666667,12.7,13.9,15.3,16.9,18.8
5,12.7,13.9,15.3,16.9,18.8
