Age,SD2neg,SD1neg,SD0,SD1,SD2
0,31.9,33.2,34.5,35.7,37
0.019178082,32.7,33.9,35.2,36.4,37.6
0.038356164,33.5,34.7,35.9,37,38.2
0.057534247,34.2,35.4,36.5,37.7,38.9
0.076712329,34.8,35.9,37.1,38.3,39.4
0.095890411,35.3,36.4,37.6,38.8,39.9
0.115068493,35.7,36.9,38.1,39.2,40.4
0.134246575,36.1,37.3,38.5,39.7,40.8
0.153424658,36.5,37.7,38.9,40,41.2
0.17260274,36.9,38.1,39.2,40.4,41.6
0.191780822,37.2,38.4,39.6,40.8,41.9
0.210958904,37.5,38.7,39.9,41.1,42.3
0.230136986,37.9,39,40.2,41.4,42.6
0.249315068,38.1,39.3,40.5,41.7,42.9
0.25,38.1,39.3,40.5,41.7,42.9
0.333333333,39.2,40.4,41.6,42.8,44
0.416666667,40.1,41.4,42.6,43.8,45
0.5,40.9,42.1,43.3,44.6,45.8
0.583333333,41.5,42.7,44,45.2,46.4
0.666666667,42,43.3,44.5,45.8,47
0.75,42.5,43.7,45,46.3,47.5
0.833333333,42.9,44.1,45.4,46.7,47.9
0.916666667,43.2,44.5,45.8,47,48.3
1,43.5,44.8,46.1,47.4,48.6
1.083333333,43.8,45,46.3,47.6,48.9
1.166666667,44,45.3,46.6,47.9,49.2
1.25,44.2,45.5,46.8,48.1,49.4
1.333333333,44.4,45.7,47,48.3,49.6
1.416666667,44.6,45.9,47.2,48.5,49.8
1.5,44.7,46,47.4,48.7,50
1.583333333,44.9,46.2,47.5,48.9,50.2
1.666666667,45,46.4,47.7,49,50.4
1.75,45.2,46.5,47.8,49.2,50.5
1.833333333,45.3,46.6,48,49.3,50.7
1.916666667,45.4,46.8,48.1,49.5,50.8
2,45.5,46.9,48.3,49.6,51
2.083333333,45.6,47,48.4,49.7,51.1
2.166666667,45.8,47.1,48.5,49.9,51.2
2.25,45.9,47.2,48.6,50,51.4
2.333333333,46,47.3,48.7,50.1,51.5
2.416666667,46.1,47.4,48.8,50.2,51.6
2.5,46.1,47.5,48.9,50.3,51.7
2.583333333,46.2,47.6,49,50.4,51.8
2.666666667,46.3,47.7,49.1,50.5,51.9
2.75,46.4,47.8,49.2,50.6,52
2.833333333,46.5,47.9,49.3,50.7,52.1
2.916666667,46.6,48,49.4,50.8,52.2
3,46.6,48,49.5,50.9,52.3
3.083333333,46.7,48.1,49.5,51,52.4
3.166666667,46.8,48.2,49.6,51,52.5
3.25,46.8,48.2,49.7,51.1,52.5
3.333333333,46.9,48.3,49.7,51.2,52.6
3.416666667,46.9,48.4,49.8,51.3,52.7
3.5,47,48.4,49.9,51.3,52.8
3.583333333,47,48.5,49.9,51.4,52.8
3.666666667,47.1,48.5,50,51.4,52.9
3.75,47.1,48.6,50.1,51.5,53
3.833333333,47.2,48.7,50.1,51.6,53
3.916666667,47.2,48.7,50.2,51.6,53.1
4,47.3,48.7,50.2,51.7,53.1
4.083333333,47.3,48.8,50.3,51.7,53.2
4.166666667,47.4,48.8,50.3,51.8,53.2
4.25,47.4,48.9,50.4,51.8,53.3
4.333333333,47.5,48.9,50.4,51.9,53.4
4.416666667,47.5,49,50.4,51.9,53.4
4.5,47.5,49,50.5,52,53.5
4.583333333,47.6,49.1,50.5,52,53.5
4.666666667,47.6,49.1,50.6,52.1,53.5
4.75,47.6,49.1,50.6,52.1,53.6
4.833333333,47.7,49.2,50.7,52.1,53.6
4.916666667,47.7,49.2,50.7,52.2,53.7
5,47.7,49.2,50.7,52.2,53.7
