Age,SD2neg,SD1neg,SD0,SD1,SD2
0,31.5,32.7,33.9,35.1,36.2
0.019178082,32.2,33.4,34.6,35.7,36.9
0.038356164,32.9,34.1,35.2,36.4,37.5
0.057534247,33.5,34.7,35.8,37,38.2
0.076712329,34,35.2,36.4,37.5,38.7
0.095890411,34.5,35.7,36.8,38,39.2
0.115068493,34.9,36.1,37.3,38.5,39.6
0.134246575,35.3,36.5,37.7,38.9,40.1
0.153424658,35.6,36.8,38,39.2,40.4
0.17260274,35.9,37.1,38.4,39.6,40.8
0.191780822,36.2,37.4,38.7,39.9,41.1
0.210958904,36.5,37.7,39,40.2,41.4
0.230136986,36.8,38,39.3,40.5,41.7
0.249315068,37,38.3,39.5,40.8,42
0.25,37.1,38.3,39.5,40.8,42
0.333333333,38.1,39.3,40.6,41.8,43.1
0.416666667,38.9,40.2,41.5,42.7,44
0.5,39.6,40.9,42.2,43.5,44.8
0.583333333,40.2,41.5,42.8,44.1,45.5
0.666666667,40.7,42,43.4,44.7,46
0.75,41.2,42.5,43.8,45.2,46.5
0.833333333,41.5,42.9,44.2,45.6,46.9
0.916666667,41.9,43.2,44.6,45.9,47.3
1,42.2,43.5,44.9,46.3,47.6
1.083333333,42.4,43.8,45.2,46.5,47.9
1.166666667,42.7,44.1,45.4,46.8,48.2
1.25,42.9,44.3,45.7,47,48.4
1.333333333,43.1,44.5,45.9,47.2,48.6
1.416666667,43.3,44.7,46.1,47.4,48.8
1.5,43.5,44.9,46.2,47.6,49
1.583333333,43.6,45,46.4,47.8,49.2
1.666666667,43.8,45.2,46.6,48,49.4
1.75,44,45.3,46.7,48.1,49.5
1.833333333,44.1,45.5,46.9,48.3,49.7
1.916666667,44.3,45.6,47,48.4,49.8
2,44.4,45.8,47.2,48.6,50
2.083333333,44.5,45.9,47.3,48.7,50.1
2.166666667,44.7,46.1,47.5,48.9,50.3
2.25,44.8,46.2,47.6,49,50.4
2.333333333,44.9,46.3,47.7,49.1,50.5
2.416666667,45,46.4,47.8,49.2,50.6
2.5,45.1,46.5,47.9,49.3,50.7
2.583333333,45.2,46.6,48,49.4,50.9
2.666666667,45.3,46.7,48.1,49.6,51
2.75,45.4,46.8,48.2,49.7,51.1
2.833333333,45.5,46.9,48.3,49.7,51.2
2.916666667,45.6,47,48.4,49.8,51.2
3,45.7,47.1,48.5,49.9,51.3
3.083333333,45.8,47.2,48.6,50,51.4
3.166666667,45.8,47.3,48.7,50.1,51.5
3.25,45.9,47.3,48.7,50.2,51.6
3.333333333,46,47.4,48.8,50.2,51.7
3.416666667,46.1,47.5,48.9,50.3,51.7
3.5,46.1,47.5,49,50.4,51.8
3.583333333,46.2,47.6,49,50.4,51.9
3.666666667,46.3,47.7,49.1,50.5,51.9
3.75,46.3,47.7,49.2,50.6,52
3.833333333,46.4,47.8,49.2,50.6,52.1
3.916666667,46.4,47.9,49.3,50.7,52.1
4,46.5,47.9,49.3,50.8,52.2
4.083333333,46.5,48,49.4,50.8,52.2
4.166666667,46.6,48,49.4,50.9,52.3
4.25,46.7,48.1,49.5,50.9,52.3
4.333333333,46.7,48.1,49.5,51,52.4
4.416666667,46.8,48.2,49.6,51,52.4
4.5,46.8,48.2,49.6,51.1,52.5
4.583333333,46.9,48.3,49.7,51.1,52.5
4.666666667,46.9,48.3,49.7,51.2,52.6
4.75,46.9,48.4,49.8,51.2,52.6
4.833333333,47,48.4,49.8,51.3,52.7
4.916666667,47,48.5,49.9,51.3,52.7
5,47.1,48.5,49.9,51.3,52.8
