Age,SD2neg,SD1neg,SD0,SD1,SD2
0,46.1,48,49.9,51.8,53.7
0.019178082,47.3,49.2,51.1,53,54.9
0.038356164,48.5,50.4,52.3,54.3,56.2
0.057534247,49.5,51.5,53.4,55.3,57.2
0.076712329,50.5,52.4,54.4,56.3,58.3
0.095890411,51.4,53.4,55.3,57.3,59.2
0.115068493,52.3,54.3,56.2,58.2,60.2
0.134246575,53.1,55.1,57.1,59.1,61
0.153424658,53.9,55.9,57.9,59.9,61.9
0.17260274,54.6,56.6,58.7,60.7,62.7
0.191780822,55.4,57.4,59.4,61.4,63.4
0.210958904,56,58.1,60.1,62.1,64.1
0.230136986,56.7,58.7,60.8,62.8,64.8
0.249315068,57.3,59.4,61.4,63.4,65.5
0.25,57.3,59.4,61.4,63.5,65.5
0.333333333,59.7,61.8,63.9,66,68
0.416666667,61.7,63.8,65.9,68,70.1
0.5,63.3,65.5,67.6,69.8,71.9
0.583333333,64.8,67,69.2,71.3,73.5
0.666666667,66.2,68.4,70.6,72.8,75
0.75,67.5,69.7,72,74.2,76.5
0.833333333,68.7,71,73.3,75.6,77.9
0.916666667,69.9,72.2,74.5,76.9,79.2
1,71,73.4,75.7,78.1,80.5
1.083333333,72.1,74.5,76.9,79.3,81.8
1.166666667,73.1,75.6,78,80.5,83
1.25,74.1,76.6,79.1,81.7,84.2
1.333333333,75,77.6,80.2,82.8,85.4
1.416666667,76,78.6,81.2,83.9,86.5
1.5,76.9,79.6,82.3,85,87.7
1.583333333,77.7,80.5,83.2,86,88.8
1.666666667,78.6,81.4,84.2,87,89.8
1.75,79.4,82.3,85.1,88,90.9
1.833333333,80.2,83.1,86,89,91.9
1.916666667,81,83.9,86.9,89.9,92.9
2,81.7,84.8,87.8,90.9,93.9
2.083333333,81.7,84.9,88,91.1,94.2
2.166666667,82.5,85.6,88.8,92,95.2
2.25,83.1,86.4,89.6,92.9,96.1
2.333333333,83.8,87.1,90.4,93.7,97
2.416666667,84.5,87.8,91.2,94.5,97.9
2.5,85.1,88.5,91.9,95.3,98.7
2.583333333,85.7,89.2,92.7,96.1,99.6
2.666666667,86.4,89.9,93.4,96.9,100.4
2.75,86.9,90.5,94.1,97.6,101.2
2.833333333,87.5,91.1,94.8,98.4,102
2.916666667,88.1,91.8,95.4,99.1,102.7
3,88.7,92.4,96.1,99.8,103.5
3.083333333,89.2,93,96.7,100.5,104.2
3.166666667,89.8,93.6,97.4,101.2,105
3.25,90.3,94.2,98,101.8,105.7
3.333333333,90.9,94.7,98.6,102.5,106.4
3.416666667,91.4,95.3,99.2,103.2,107.1
3.5,91.9,95.9,99.9,103.8,107.8
3.583333333,92.4,96.4,100.4,104.5,108.5
3.666666667,93,97,101,105.1,109.1
3.75,93.5,97.5,101.6,105.7,109.8
3.833333333,94,98.1,102.2,106.3,110.4
3.916666667,94.4,98.6,102.8,106.9,111.1
4,94.9,99.1,103.3,107.5,111.7
4.083333333,95.4,99.7,103.9,108.1,112.4
4.166666667,95.9,100.2,104.4,108.7,113
4.25,96.4,100.7,105,109.3,113.6
4.333333333,96.9,101.2,105.6,109.9,114.2
4.416666667,97.4,101.7,106.1,110.5,114.9
4.5,97.8,102.3,106.7,111.1,115.5
4.583333333,98.3,102.8,107.2,111.7,116.1
4.666666667,98.8,103.3,107.8,112.3,116.7
4.75,99.3,103.8,108.3,112.8,117.4
4.833333333,99.7,104.3,108.9,113.4,118
4.916666667,100.2,104.8,109.4,114,118.6
5,100.7,105.3,110,114.6,119.2
