Age,SD2neg,SD1neg,SD0,SD1,SD2
0,45.4,47.3,49.1,51,52.9
0.019178082,46.6,48.4,50.3,52.2,54.1
0.038356164,47.7,49.6,51.5,53.4,55.3
0.057534247,48.6,50.5,52.5,54.4,56.3
0.076712329,49.5,51.4,53.4,55.3,57.3
0.095890411,50.3,52.3,54.2,56.2,58.2
0.115068493,51.1,53.1,55.1,57.1,59
0.134246575,51.8,53.8,55.8,57.8,59.9
0.153424658,52.5,54.6,56.6,58.6,60.6
0.17260274,53.2,55.2,57.3,59.3,61.4
0.191780822,53.8,55.9,57.9,60,62.1
0.210958904,54.4,56.5,58.6,60.7,62.7
0.230136986,55,57.1,59.2,61.3,63.4
0.249315068,55.6,57.7,59.8,61.9,64
0.25,55.6,57.7,59.8,61.9,64
0.333333333,57.8,59.9,62.1,64.3,66.4
0.416666667,59.6,61.8,64,66.2,68.5
0.5,61.2,63.5,65.7,68,70.3
0.583333333,62.7,65,67.3,69.6,71.9
0.666666667,64,66.4,68.7,71.1,73.5
0.75,65.3,67.7,70.1,72.6,75
0.833333333,66.5,69,71.5,73.9,76.4
0.916666667,67.7,70.3,72.8,75.3,77.8
1,68.9,71.4,74,76.6,79.2
1.083333333,70,72.6,75.2,77.8,80.5
1.166666667,71,73.7,76.4,79.1,81.7
1.25,72,74.8,77.5,80.2,83
1.333333333,73,75.8,78.6,81.4,84.2
1.416666667,74,76.8,79.7,82.5,85.4
1.5,74.9,77.8,80.7,83.6,86.5
1.583333333,75.8,78.8,81.7,84.7,87.6
1.666666667,76.7,79.7,82.7,85.7,88.7
1.75,77.5,80.6,83.7,86.7,89.8
1.833333333,78.4,81.5,84.6,87.7,90.8
1.916666667,79.2,82.3,85.5,88.7,91.9
2,79.3,82.5,85.7,88.9,92.2
2.083333333,80,83.3,86.6,89.9,93.1
2.166666667,80.8,84.1,87.4,90.8,94.1
2.25,81.5,84.9,88.3,91.7,95
2.333333333,82.2,85.7,89.1,92.5,96
2.416666667,82.9,86.4,89.9,93.4,96.9
2.5,83.6,87.1,90.7,94.2,97.7
2.583333333,84.3,87.9,91.4,95,98.6
2.666666667,84.9,88.6,92.2,95.8,99.4
2.75,85.6,89.3,92.9,96.6,100.3
2.833333333,86.2,89.9,93.6,97.4,101.1
2.916666667,86.8,90.6,94.4,98.1,101.9
3,87.4,91.2,95.1,98.9,102.7
3.083333333,88,91.9,95.7,99.6,103.4
3.166666667,88.6,92.5,96.4,100.3,104.2
3.25,89.2,93.1,97.1,101,105
3.333333333,89.8,93.8,97.7,101.7,105.7
3.416666667,90.4,94.4,98.4,102.4,106.4
3.5,90.9,95,99,103.1,107.2
3.583333333,91.5,95.6,99.7,103.8,107.9
3.666666667,92,96.2,100.3,104.5,108.6
3.75,92.5,96.7,100.9,105.1,109.3
3.833333333,93.1,97.3,101.5,105.8,110
3.916666667,93.6,97.9,102.1,106.4,110.7
4,94.1,98.4,102.7,107,111.3
4.083333333,94.6,99,103.3,107.7,112
4.166666667,95.1,99.5,103.9,108.3,112.7
4.25,95.6,100.1,104.5,108.9,113.3
4.333333333,96.1,100.6,105,109.5,114
4.416666667,96.6,101.1,105.6,110.1,114.6
4.5,97.1,101.6,106.2,110.7,115.2
4.583333333,97.6,102.2,106.7,111.3,115.9
4.666666667,98.1,102.7,107.3,111.9,116.5
4.75,98.5,103.2,107.8,112.5,117.1
4.833333333,99,103.7,108.4,113,117.7
4.916666667,99.5,104.2,108.9,113.6,118.3
5,99.9,104.7,109.4,114.2,118.9
