Height,SD2neg,SD1neg,SD0,SD1,SD2
49.9,31.9,33.2,34.5,35.7,37
51.1,32.7,33.9,35.2,36.4,37.6
52.3,33.5,34.7,35.9,37,38.2
53.4,34.2,35.4,36.5,37.7,38.9
54.4,34.8,35.9,37.1,38.3,39.4
55.3,35.3,36.4,37.6,38.8,39.9
56.2,35.7,36.9,38.1,39.2,40.4
57.1,36.1,37.3,38.5,39.7,40.8
57.9,36.5,37.7,38.9,40,41.2
58.7,36.9,38.1,39.2,40.4,41.6
59.4,37.2,38.4,39.6,40.8,41.9
60.1,37.5,38.7,39.9,41.1,42.3
60.8,37.9,39,40.2,41.4,42.6
61.4,38.1,39.3,40.5,41.7,42.9
61.4,38.1,39.3,40.5,41.7,42.9
63.9,39.2,40.4,41.6,42.8,44
65.9,40.1,41.4,42.6,43.8,45
67.6,40.9,42.1,43.3,44.6,45.8
69.2,41.5,42.7,44,45.2,46.4
70.6,42,43.3,44.5,45.8,47
72,42.5,43.7,45,46.3,47.5
73.3,42.9,44.1,45.4,46.7,47.9
74.5,43.2,44.5,45.8,47,48.3
75.7,43.5,44.8,46.1,47.4,48.6
76.9,43.8,45,46.3,47.6,48.9
78,44,45.3,46.6,47.9,49.2
79.1,44.2,45.5,46.8,48.1,49.4
80.2,44.4,45.7,47,48.3,49.6
81.2,44.6,45.9,47.2,48.5,49.8
82.3,44.7,46,47.4,48.7,50
83.2,44.9,46.2,47.5,48.9,50.2
84.2,45,46.4,47.7,49,50.4
85.1,45.2,46.5,47.8,49.2,50.5
86,45.3,46.6,48,49.3,50.7
86.9,45.4,46.8,48.1,49.5,50.8
87.8,45.5,46.9,48.3,49.6,51
88,45.6,47,48.4,49.7,51.1
88.8,45.8,47.1,48.5,49.9,51.2
89.6,45.9,47.2,48.6,50,51.4
90.4,46,47.3,48.7,50.1,51.5
91.2,46.1,47.4,48.8,50.2,51.6
91.9,46.1,47.5,48.9,50.3,51.7
92.7,46.2,47.6,49,50.4,51.8
93.4,46.3,47.7,49.1,50.5,51.9
94.1,46.4,47.8,49.2,50.6,52
94.8,46.5,47.9,49.3,50.7,52.1
95.4,46.6,48,49.4,50.8,52.2
96.1,46.6,48,49.5,50.9,52.3
96.7,46.7,48.1,49.5,51,52.4
97.4,46.8,48.2,49.6,51,52.5
98,46.8,48.2,49.7,51.1,52.5
98.6,46.9,48.3,49.7,51.2,52.6
99.2,46.9,48.4,49.8,51.3,52.7
99.9,47,48.4,49.9,51.3,52.8
100.4,47,48.5,49.9,51.4,52.8
101,47.1,48.5,50,51.4,52.9
101.6,47.1,48.6,50.1,51.5,53
102.2,47.2,48.7,50.1,51.6,53
102.8,47.2,48.7,50.2,51.6,53.1
103.3,47.3,48.7,50.2,51.7,53.1
103.9,47.3,48.8,50.3,51.7,53.2
104.4,47.4,48.8,50.3,51.8,53.2
105,47.4,48.9,50.4,51.8,53.3
105.6,47.5,48.9,50.4,51.9,53.4
106.1,47.5,49,50.4,51.9,53.4
106.7,47.5,49,50.5,52,53.5
107.2,47.6,49.1,50.5,52,53.5
107.8,47.6,49.1,50.6,52.1,53.5
108.3,47.6,49.1,50.6,52.1,53.6
108.9,47.7,49.2,50.7,52.1,53.6
109.4,47.7,49.2,50.7,52.2,53.7
110,47.7,49.2,50.7,52.2,53.7
