Height,SD2neg,SD1neg,SD0,SD1,SD2
49.1,31.5,32.7,33.9,35.1,36.2
50.3,32.2,33.4,34.6,35.7,36.9
51.5,32.9,34.1,35.2,36.4,37.5
52.5,33.5,34.7,35.8,37,38.2
53.4,34,35.2,36.4,37.5,38.7
54.2,34.5,35.7,36.8,38,39.2
55.1,34.9,36.1,37.3,38.5,39.6
55.8,35.3,36.5,37.7,38.9,40.1
56.6,35.6,36.8,38,39.2,40.4
57.3,35.9,37.1,38.4,39.6,40.8
57.9,36.2,37.4,38.7,39.9,41.1
58.6,36.5,37.7,39,40.2,41.4
59.2,36.8,38,39.3,40.5,41.7
59.8,37,38.3,39.5,40.8,42
59.8,37.1,38.3,39.5,40.8,42
62.1,38.1,39.3,40.6,41.8,43.1
64,38.9,40.2,41.5,42.7,44
65.7,39.6,40.9,42.2,43.5,44.8
67.3,40.2,41.5,42.8,44.1,45.5
68.7,40.7,42,43.4,44.7,46
70.1,41.2,42.5,43.8,45.2,46.5
71.5,41.5,42.9,44.2,45.6,46.9
72.8,41.9,43.2,44.6,45.9,47.3
74,42.2,43.5,44.9,46.3,47.6
75.2,42.4,43.8,45.2,46.5,47.9
76.4,42.7,44.1,45.4,46.8,48.2
77.5,42.9,44.3,45.7,47,48.4
78.6,43.1,44.5,45.9,47.2,48.6
79.7,43.3,44.7,46.1,47.4,48.8
80.7,43.5,44.9,46.2,47.6,49
81.7,43.6,45,46.4,47.8,49.2
82.7,43.8,45.2,46.6,48,49.4
83.7,44,45.3,46.7,48.1,49.5
84.6,44.1,45.5,46.9,48.3,49.7
85.5,44.3,45.6,47,48.4,49.8
85.7,44.4,45.8,47.2,48.6,50
86.6,44.5,45.9,47.3,48.7,50.1
87.4,44.7,46.1,47.5,48.9,50.3
88.3,44.8,46.2,47.6,49,50.4
89.1,44.9,46.3,47.7,49.1,50.5
89.9,45,46.4,47.8,49.2,50.6
90.7,45.1,46.5,47.9,49.3,50.7
91.4,45.2,46.6,48,49.4,50.9
92.2,45.3,46.7,48.1,49.6,51
92.9,45.4,46.8,48.2,49.7,51.1
93.6,45.5,46.9,48.3,49.7,51.2
94.4,45.6,47,48.4,49.8,51.2
95.1,45.7,47.1,48.5,49.9,51.3
95.7,45.8,47.2,48.6,50,51.4
96.4,45.8,47.3,48.7,50.1,51.5
97.1,45.9,47.3,48.7,50.2,51.6
97.7,46,47.4,48.8,50.2,51.7
98.4,46.1,47.5,48.9,50.3,51.7
99,46.1,47.5,49,50.4,51.8
99.7,46.2,47.6,49,50.4,51.9
100.3,46.3,47.7,49.1,50.5,51.9
100.9,46.3,47.7,49.2,50.6,52
101.5,46.4,47.8,49.2,50.6,52.1
102.1,46.4,47.9,49.3,50.7,52.1
102.7,46.5,47.9,49.3,50.8,52.2
103.3,46.5,48,49.4,50.8,52.2
103.9,46.6,48,49.4,50.9,52.3
104.5,46.7,48.1,49.5,50.9,52.3
105,46.7,48.1,49.5,51,52.4
105.6,46.8,48.2,49.6,51,52.4
106.2,46.8,48.2,49.6,51.1,52.5
106.7,46.9,48.3,49.7,51.1,52.5
107.3,46.9,48.3,49.7,51.2,52.6
107.8,46.9,48.4,49.8,51.2,52.6
108.4,47,48.4,49.8,51.3,52.7
108.9,47,48.5,49.9,51.3,52.7
109.4,47.1,48.5,49.9,51.3,52.8
