Height,SD2neg,SD1neg,SD0,SD1,SD2
49.9,2.5,2.9,3.3,3.9,4.4
51.1,2.6,3,3.5,4,4.6
52.3,2.8,3.2,3.8,4.3,4.9
53.4,3.1,3.5,4.1,4.7,5.3
54.4,3.3,3.8,4.4,5,5.7
55.3,3.5,4.1,4.7,5.3,6
56.2,3.8,4.3,4.9,5.6,6.3
57.1,4,4.6,5.2,5.9,6.6
57.9,4.2,4.8,5.4,6.1,6.9
58.7,4.4,5,5.6,6.4,7.2
59.4,4.5,5.2,5.8,6.6,7.4
60.1,4.7,5.3,6,6.8,7.6
60.8,4.9,5.5,6.2,7,7.8
61.4,5,5.7,6.4,7.2,8
61.4,5,5.7,6.4,7.2,8
63.9,5.6,6.2,7,7.8,8.7
65.9,6,6.7,7.5,8.4,9.3
67.6,6.4,7.1,7.9,8.8,9.8
69.2,6.7,7.4,8.3,9.2,10.3
70.6,6.9,7.7,8.6,9.6,10.7
72,7.1,8,8.9,9.9,11
73.3,7.4,8.2,9.2,10.2,11.4
74.5,7.6,8.4,9.4,10.5,11.7
75.7,7.7,8.6,9.6,10.8,12
76.9,7.9,8.8,9.9,11,12.3
78,8.1,9,10.1,11.3,12.6
79.1,8.3,9.2,10.3,11.5,12.8
80.2,8.4,9.4,10.5,11.7,13.1
81.2,8.6,9.6,10.7,12,13.4
82.3,8.8,9.8,10.9,12.2,13.7
83.2,8.9,10,11.1,12.5,13.9
84.2,9.1,10.1,11.3,12.7,14.2
85.1,9.2,10.3,11.5,12.9,14.5
86,9.4,10.5,11.8,13.2,14.7
86.9,9.5,10.7,12,13.4,15
87.8,9.7,10.8,12.2,13.6,15.3
88,9.8,11,12.4,13.9,15.5
88.8,10,11.2,12.5,14.1,15.8
89.6,10.1,11.3,12.7,14.3,16.1
90.4,10.2,11.5,12.9,14.5,16.3
91.2,10.4,11.7,13.1,14.8,16.6
91.9,10.5,11.8,13.3,15,16.9
92.7,10.7,12,13.5,15.2,17.1
93.4,10.8,12.1,13.7,15.4,17.4
94.1,10.9,12.3,13.8,15.6,17.6
94.8,11,12.4,14,15.8,17.8
95.4,11.2,12.6,14.2,16,18.1
96.1,11.3,12.7,14.3,16.2,18.3
96.7,11.4,12.9,14.5,16.4,18.6
97.4,11.5,13,14.7,16.6,18.8
98,11.6,13.1,14.8,16.8,19
98.6,11.8,13.3,15,17,19.3
99.2,11.9,13.4,15.2,17.2,19.5
99.9,12,13.6,15.3,17.4,19.7
100.4,12.1,13.7,15.5,17.6,20
101,12.2,13.8,15.7,17.8,20.2
101.6,12.4,14,15.8,18,20.5
102.2,12.5,14.1,16,18.2,20.7
102.8,12.6,14.3,16.2,18.4,20.9
103.3,12.7,14.4,16.3,18.6,21.2
103.9,12.8,14.5,16.5,18.8,21.4
104.4,12.9,14.7,16.7,19,21.7
105,13.1,14.8,16.8,19.2,21.9
105.6,13.2,15,17,19.4,22.2
106.1,13.3,15.1,17.2,19.6,22.4
106.7,13.4,15.2,17.3,19.8,22.7
107.2,13.5,15.4,17.5,20,22.9
107.8,13.6,15.5,17.7,20.2,23.2
108.3,13.7,15.6,17.8,20.4,23.4
108.9,13.8,15.8,18,20.6,23.7
109.4,14,15.9,18.2,20.8,23.9
110,14.1,16,18.3,21,24.2
