Height,SD2neg,SD1neg,SD0,SD1,SD2
49.1,2.4,2.8,3.2,3.7,4.2
50.3,2.5,2.9,3.3,3.9,4.4
51.5,2.7,3.1,3.6,4.1,4.7
52.5,2.9,3.3,3.8,4.4,5
53.4,3.1,3.6,4.1,4.7,5.4
54.2,3.3,3.8,4.3,5,5.7
55.1,3.5,4,4.6,5.2,6
55.8,3.7,4.2,4.8,5.5,6.2
56.6,3.8,4.4,5,5.7,6.5
57.3,4,4.6,5.2,5.9,6.7
57.9,4.1,4.7,5.4,6.1,6.9
58.6,4.3,4.9,5.5,6.3,7.1
59.2,4.4,5,5.7,6.5,7.3
59.8,4.5,5.1,5.8,6.6,7.5
59.8,4.5,5.2,5.8,6.6,7.5
62.1,5,5.7,6.4,7.3,8.2
64,5.4,6.1,6.9,7.8,8.8
65.7,5.7,6.5,7.3,8.2,9.3
67.3,6,6.8,7.6,8.6,9.8
68.7,6.3,7,7.9,9,10.2
70.1,6.5,7.3,8.2,9.3,10.5
71.5,6.7,7.5,8.5,9.6,10.9
72.8,6.9,7.7,8.7,9.9,11.2
74,7,7.9,8.9,10.1,11.5
75.2,7.2,8.1,9.2,10.4,11.8
76.4,7.4,8.3,9.4,10.6,12.1
77.5,7.6,8.5,9.6,10.9,12.4
78.6,7.7,8.7,9.8,11.1,12.6
79.7,7.9,8.9,10,11.4,12.9
80.7,8.1,9.1,10.2,11.6,13.2
81.7,8.2,9.2,10.4,11.8,13.5
82.7,8.4,9.4,10.6,12.1,13.7
83.7,8.6,9.6,10.9,12.3,14
84.6,8.7,9.8,11.1,12.5,14.3
85.5,8.9,10,11.3,12.8,14.6
85.7,9,10.2,11.5,13,14.8
86.6,9.2,10.3,11.7,13.3,15.1
87.4,9.4,10.5,11.9,13.5,15.4
88.3,9.5,10.7,12.1,13.7,15.7
89.1,9.7,10.9,12.3,14,16
89.9,9.8,11.1,12.5,14.2,16.2
90.7,10,11.2,12.7,14.4,16.5
91.4,10.1,11.4,12.9,14.7,16.8
92.2,10.3,11.6,13.1,14.9,17.1
92.9,10.4,11.7,13.3,15.1,17.3
93.6,10.5,11.9,13.5,15.4,17.6
94.4,10.7,12,13.7,15.6,17.9
95.1,10.8,12.2,13.9,15.8,18.1
95.7,10.9,12.4,14,16,18.4
96.4,11.1,12.5,14.2,16.3,18.7
97.1,11.2,12.7,14.4,16.5,19
97.7,11.3,12.8,14.6,16.7,19.2
98.4,11.5,13,14.8,16.9,19.5
99,11.6,13.1,15,17.2,19.8
99.7,11.7,13.3,15.2,17.4,20.1
100.3,11.8,13.4,15.3,17.6,20.4
100.9,12,13.6,15.5,17.8,20.7
101.5,12.1,13.7,15.7,18.1,20.9
102.1,12.2,13.9,15.9,18.3,21.2
102.7,12.3,14,16.1,18.5,21.5
103.3,12.4,14.2,16.3,18.8,21.8
103.9,12.6,14.3,16.4,19,22.1
104.5,12.7,14.5,16.6,19.2,22.4
105,12.8,14.6,16.8,19.4,22.6
105.6,12.9,14.8,17,19.7,22.9
106.2,13,14.9,17.2,19.9,23.2
106.7,13.2,15.1,17.3,20.1,23.5
107.3,13.3,15.2,17.5,20.3,23.8
107.8,13.4,15.3,17.7,20.6,24.1
108.4,13.5,15.5,17.9,20.8,24.4
108.9,13.6,15.6,18,21,24.6
109.4,13.7,15.8,18.2,21.2,24.9
