Age,SD2neg,SD1neg,SD0,SD1,SD2
0,2.5,2.9,3.3,3.9,4.4
0.019178082,2.6,3,3.5,4,4.6
0.038356164,2.8,3.2,3.8,4.3,4.9
0.057534247,3.1,3.5,4.1,4.7,5.3
0.076712329,3.3,3.8,4.4,5,5.7
0.095890411,3.5,4.1,4.7,5.3,6
0.115068493,3.8,4.3,4.9,5.6,6.3
0.134246575,4,4.6,5.2,5.9,6.6
0.153424658,4.2,4.8,5.4,6.1,6.9
0.17260274,4.4,5,5.6,6.4,7.2
0.191780822,4.5,5.2,5.8,6.6,7.4
0.210958904,4.7,5.3,6,6.8,7.6
0.230136986,4.9,5.5,6.2,7,7.8
0.249315068,5,5.7,6.4,7.2,8
0.25,5,5.7,6.4,7.2,8
0.333333333,5.6,6.2,7,7.8,8.7
0.416666667,6,6.7,7.5,8.4,9.3
0.5,6.4,7.1,7.9,8.8,9.8
0.583333333,6.7,7.4,8.3,9.2,10.3
0.666666667,6.9,7.7,8.6,9.6,10.7
0.75,7.1,8,8.9,9.9,11
0.833333333,7.4,8.2,9.2,10.2,11.4
0.916666667,7.6,8.4,9.4,10.5,11.7
1,7.7,8.6,9.6,10.8,12
1.083333333,7.9,8.8,9.9,11,12.3
1.166666667,8.1,9,10.1,11.3,12.6
1.25,8.3,9.2,10.3,11.5,12.8
1.333333333,8.4,9.4,10.5,11.7,13.1
1.416666667,8.6,9.6,10.7,12,13.4
1.5,8.8,9.8,10.9,12.2,13.7
1.583333333,8.9,10,11.1,12.5,13.9
1.666666667,9.1,10.1,11.3,12.7,14.2
1.75,9.2,10.3,11.5,12.9,14.5
1.833333333,9.4,10.5,11.8,13.2,14.7
1.916666667,9.5,10.7,12,13.4,15
2,9.7,10.8,12.2,13.6,15.3
2.083333333,9.8,11,12.4,13.9,15.5
2.166666667,10,11.2,12.5,14.1,15.8
2.25,10.1,11.3,12.7,14.3,16.1
2.333333333,10.2,11.5,12.9,14.5,16.3
2.416666667,10.4,11.7,13.1,14.8,16.6
2.5,10.5,11.8,13.3,15,16.9
2.583333333,10.7,12,13.5,15.2,17.1
2.666666667,10.8,12.1,13.7,15.4,17.4
2.75,10.9,12.3,13.8,15.6,17.6
2.833333333,11,12.4,14,15.8,17.8
2.916666667,11.2,12.6,14.2,16,18.1
3,11.3,12.7,14.3,16.2,18.3
3.083333333,11.4,12.9,14.5,16.4,18.6
3.166666667,11.5,13,14.7,16.6,18.8
3.25,11.6,13.1,14.8,16.8,19
3.333333333,11.8,13.3,15,17,19.3
3.416666667,11.9,13.4,15.2,17.2,19.5
3.5,12,13.6,15.3,17.4,19.7
3.583333333,12.1,13.7,15.5,17.6,20
3.666666667,12.2,13.8,15.7,17.8,20.2
3.75,12.4,14,15.8,18,20.5
3.833333333,12.5,14.1,16,18.2,20.7
3.916666667,12.6,14.3,16.2,18.4,20.9
4,12.7,14.4,16.3,18.6,21.2
4.083333333,12.8,14.5,16.5,18.8,21.4
4.166666667,12.9,14.7,16.7,19,21.7
4.25,13.1,14.8,16.8,19.2,21.9
4.333333333,13.2,15,17,19.4,22.2
4.416666667,13.3,15.1,17.2,19.6,22.4
4.5,13.4,15.2,17.3,19.8,22.7
4.583333333,13.5,15.4,17.5,20,22.9
4.666666667,13.6,15.5,17.7,20.2,23.2
4.75,13.7,15.6,17.8,20.4,23.4
4.833333333,13.8,15.8,18,20.6,23.7
4.916666667,14,15.9,18.2,20.8,23.9
5,14.1,16,18.3,21,24.2
