Age,SD2neg,SD1neg,SD0,SD1,SD2
0,2.4,2.8,3.2,3.7,4.2
0.019178082,2.5,2.9,3.3,3.9,4.4
0.038356164,2.7,3.1,3.6,4.1,4.7
0.057534247,2.9,3.3,3.8,4.4,5
0.076712329,3.1,3.6,4.1,4.7,5.4
0.095890411,3.3,3.8,4.3,5,5.7
0.115068493,3.5,4,4.6,5.2,6
0.134246575,3.7,4.2,4.8,5.5,6.2
0.153424658,3.8,4.4,5,5.7,6.5
0.17260274,4,4.6,5.2,5.9,6.7
0.191780822,4.1,4.7,5.4,6.1,6.9
0.210958904,4.3,4.9,5.5,6.3,7.1
0.230136986,4.4,5,5.7,6.5,7.3
0.249315068,4.5,5.1,5.8,6.6,7.5
0.25,4.5,5.2,5.8,6.6,7.5
0.333333333,5,5.7,6.4,7.3,8.2
0.416666667,5.4,6.1,6.9,7.8,8.8
0.5,5.7,6.5,7.3,8.2,9.3
0.583333333,6,6.8,7.6,8.6,9.8
0.666666667,6.3,7,7.9,9,10.2
0.75,6.5,7.3,8.2,9.3,10.5
0.833333333,6.7,7.5,8.5,9.6,10.9
0.916666667,6.9,7.7,8.7,9.9,11.2
1,7,7.9,8.9,10.1,11.5
1.083333333,7.2,8.1,9.2,10.4,11.8
1.166666667,7.4,8.3,9.4,10.6,12.1
1.25,7.6,8.5,9.6,10.9,12.4
1.333333333,7.7,8.7,9.8,11.1,12.6
1.416666667,7.9,8.9,10,11.4,12.9
1.5,8.1,9.1,10.2,11.6,13.2
1.583333333,8.2,9.2,10.4,11.8,13.5
1.666666667,8.4,9.4,10.6,12.1,13.7
1.75,8.6,9.6,10.9,12.3,14
1.833333333,8.7,9.8,11.1,12.5,14.3
1.916666667,8.9,10,11.3,12.8,14.6
2,9,10.2,11.5,13,14.8
2.083333333,9.2,10.3,11.7,13.3,15.1
2.166666667,9.4,10.5,11.9,13.5,15.4
2.25,9.5,10.7,12.1,13.7,15.7
2.333333333,9.7,10.9,12.3,14,16
2.416666667,9.8,11.1,12.5,14.2,16.2
2.5,10,11.2,12.7,14.4,16.5
2.583333333,10.1,11.4,12.9,14.7,16.8
2.666666667,10.3,11.6,13.1,14.9,17.1
2.75,10.4,11.7,13.3,15.1,17.3
2.833333333,10.5,11.9,13.5,15.4,17.6
2.916666667,10.7,12,13.7,15.6,17.9
3,10.8,12.2,13.9,15.8,18.1
3.083333333,10.9,12.4,14,16,18.4
3.166666667,11.1,12.5,14.2,16.3,18.7
3.25,11.2,12.7,14.4,16.5,19
3.333333333,11.3,12.8,14.6,16.7,19.2
3.416666667,11.5,13,14.8,16.9,19.5
3.5,11.6,13.1,15,17.2,19.8
3.583333333,11.7,13.3,15.2,17.4,20.1
3.666666667,11.8,13.4,15.3,17.6,20.4
3.75,12,13.6,15.5,17.8,20.7
3.833333333,12.1,13.7,15.7,18.1,20.9
3.916666667,12.2,13.9,15.9,18.3,21.2
4,12.3,14,16.1,18.5,21.5
4.083333333,12.4,14.2,16.3,18.8,21.8
4.166666667,12.6,14.3,16.4,19,22.1
4.25,12.7,14.5,16.6,19.2,22.4
4.333333333,12.8,14.6,16.8,19.4,22.6
4.416666667,12.9,14.8,17,19.7,22.9
4.5,13,14.9,17.2,19.9,23.2
4.583333333,13.2,15.1,17.3,20.1,23.5
4.666666667,13.3,15.2,17.5,20.3,23.8
4.75,13.4,15.3,17.7,20.6,24.1
4.833333333,13.5,15.5,17.9,20.8,24.4
4.916666667,13.6,15.6,18,21,24.6
5,13.7,15.8,18.2,21.2,24.9
