Weight,SD2neg,SD1neg,SD0,SD1,SD2
3.3,31.9,33.2,34.5,35.7,37
3.5,32.7,33.9,35.2,36.4,37.6
3.8,33.5,34.7,35.9,37,38.2
4.1,34.2,35.4,36.5,37.7,38.9
4.4,34.8,35.9,37.1,38.3,39.4
4.7,35.3,36.4,37.6,38.8,39.9
4.9,35.7,36.9,38.1,39.2,40.4
5.2,36.1,37.3,38.5,39.7,40.8
5.4,36.5,37.7,38.9,40,41.2
5.6,36.9,38.1,39.2,40.4,41.6
5.8,37.2,38.4,39.6,40.8,41.9
6,37.5,38.7,39.9,41.1,42.3
6.2,37.9,39,40.2,41.4,42.6
6.4,38.1,39.3,40.5,41.7,42.9
6.4,38.1,39.3,40.5,41.7,42.9
7,39.2,40.4,41.6,42.8,44
7.5,40.1,41.4,42.6,43.8,45
7.9,40.9,42.1,43.3,44.6,45.8
8.3,41.5,42.7,44,45.2,46.4
8.6,42,43.3,44.5,45.8,47
8.9,42.5,43.7,45,46.3,47.5
9.2,42.9,44.1,45.4,46.7,47.9
9.4,43.2,44.5,45.8,47,48.3
9.6,43.5,44.8,46.1,47.4,48.6
9.9,43.8,45,46.3,47.6,48.9
10.1,44,45.3,46.6,47.9,49.2
10.3,44.2,45.5,46.8,48.1,49.4
10.5,44.4,45.7,47,48.3,49.6
10.7,44.6,45.9,47.2,48.5,49.8
10.9,44.7,46,47.4,48.7,50
11.1,44.9,46.2,47.5,48.9,50.2
11.3,45,46.4,47.7,49,50.4
11.5,45.2,46.5,47.8,49.2,50.5
11.8,45.3,46.6,48,49.3,50.7
12,45.4,46.8,48.1,49.5,50.8
12.2,45.5,46.9,48.3,49.6,51
12.4,45.6,47,48.4,49.7,51.1
12.5,45.8,47.1,48.5,49.9,51.2
12.7,45.9,47.2,48.6,50,51.4
12.9,46,47.3,48.7,50.1,51.5
13.1,46.1,47.4,48.8,50.2,51.6
13.3,46.1,47.5,48.9,50.3,51.7
13.5,46.2,47.6,49,50.4,51.8
13.7,46.3,47.7,49.1,50.5,51.9
13.8,46.4,47.8,49.2,50.6,52
14,46.5,47.9,49.3,50.7,52.1
14.2,46.6,48,49.4,50.8,52.2
14.3,46.6,48,49.5,50.9,52.3
14.5,46.7,48.1,49.5,51,52.4
14.7,46.8,48.2,49.6,51,52.5
14.8,46.8,48.2,49.7,51.1,52.5
15,46.9,48.3,49.7,51.2,52.6
15.2,46.9,48.4,49.8,51.3,52.7
15.3,47,48.4,49.9,51.3,52.8
15.5,47,48.5,49.9,51.4,52.8
15.7,47.1,48.5,50,51.4,52.9
15.8,47.1,48.6,50.1,51.5,53
16,47.2,48.7,50.1,51.6,53
16.2,47.2,48.7,50.2,51.6,53.1
16.3,47.3,48.7,50.2,51.7,53.1
16.5,47.3,48.8,50.3,51.7,53.2
16.7,47.4,48.8,50.3,51.8,53.2
16.8,47.4,48.9,50.4,51.8,53.3
17,47.5,48.9,50.4,51.9,53.4
17.2,47.5,49,50.4,51.9,53.4
17.3,47.5,49,50.5,52,53.5
17.5,47.6,49.1,50.5,52,53.5
17.7,47.6,49.1,50.6,52.1,53.5
17.8,47.6,49.1,50.6,52.1,53.6
18,47.7,49.2,50.7,52.1,53.6
18.2,47.7,49.2,50.7,52.2,53.7
18.3,47.7,49.2,50.7,52.2,53.7
