Weight,SD2neg,SD1neg,SD0,SD1,SD2
3.2,31.5,32.7,33.9,35.1,36.2
3.3,32.2,33.4,34.6,35.7,36.9
3.6,32.9,34.1,35.2,36.4,37.5
3.8,33.5,34.7,35.8,37,38.2
4.1,34,35.2,36.4,37.5,38.7
4.3,34.5,35.7,36.8,38,39.2
4.6,34.9,36.1,37.3,38.5,39.6
4.8,35.3,36.5,37.7,38.9,40.1
5,35.6,36.8,38,39.2,40.4
5.2,35.9,37.1,38.4,39.6,40.8
5.4,36.2,37.4,38.7,39.9,41.1
5.5,36.5,37.7,39,40.2,41.4
5.7,36.8,38,39.3,40.5,41.7
5.8,37,38.3,39.5,40.8,42
5.8,37.1,38.3,39.5,40.8,42
6.4,38.1,39.3,40.6,41.8,43.1
6.9,38.9,40.2,41.5,42.7,44
7.3,39.6,40.9,42.2,43.5,44.8
7.6,40.2,41.5,42.8,44.1,45.5
7.9,40.7,42,43.4,44.7,46
8.2,41.2,42.5,43.8,45.2,46.5
8.5,41.5,42.9,44.2,45.6,46.9
8.7,41.9,43.2,44.6,45.9,47.3
8.9,42.2,43.5,44.9,46.3,47.6
9.2,42.4,43.8,45.2,46.5,47.9
9.4,42.7,44.1,45.4,46.8,48.2
9.6,42.9,44.3,45.7,47,48.4
9.8,43.1,44.5,45.9,47.2,48.6
10,43.3,44.7,46.1,47.4,48.8
10.2,43.5,44.9,46.2,47.6,49
10.4,43.6,45,46.4,47.8,49.2
10.6,43.8,45.2,46.6,48,49.4
10.9,44,45.3,46.7,48.1,49.5
11.1,44.1,45.5,46.9,48.3,49.7
11.3,44.3,45.6,47,48.4,49.8
11.5,44.4,45.8,47.2,48.6,50
11.7,44.5,45.9,47.3,48.7,50.1
11.9,44.7,46.1,47.5,48.9,50.3
12.1,44.8,46.2,47.6,49,50.4
12.3,44.9,46.3,47.7,49.1,50.5
12.5,45,46.4,47.8,49.2,50.6
12.7,45.1,46.5,47.9,49.3,50.7
12.9,45.2,46.6,48,49.4,50.9
13.1,45.3,46.7,48.1,49.6,51
13.3,45.4,46.8,48.2,49.7,51.1
13.5,45.5,46.9,48.3,49.7,51.2
13.7,45.6,47,48.4,49.8,51.2
13.9,45.7,47.1,48.5,49.9,51.3
14,45.8,47.2,48.6,50,51.4
14.2,45.8,47.3,48.7,50.1,51.5
14.4,45.9,47.3,48.7,50.2,51.6
14.6,46,47.4,48.8,50.2,51.7
14.8,46.1,47.5,48.9,50.3,51.7
15,46.1,47.5,49,50.4,51.8
15.2,46.2,47.6,49,50.4,51.9
15.3,46.3,47.7,49.1,50.5,51.9
15.5,46.3,47.7,49.2,50.6,52
15.7,46.4,47.8,49.2,50.6,52.1
15.9,46.4,47.9,49.3,50.7,52.1
16.1,46.5,47.9,49.3,50.8,52.2
16.3,46.5,48,49.4,50.8,52.2
16.4,46.6,48,49.4,50.9,52.3
16.6,46.7,48.1,49.5,50.9,52.3
16.8,46.7,48.1,49.5,51,52.4
17,46.8,48.2,49.6,51,52.4
17.2,46.8,48.2,49.6,51.1,52.5
17.3,46.9,48.3,49.7,51.1,52.5
17.5,46.9,48.3,49.7,51.2,52.6
17.7,46.9,48.4,49.8,51.2,52.6
17.9,47,48.4,49.8,51.3,52.7
18,47,48.5,49.9,51.3,52.7
18.2,47.1,48.5,49.9,51.3,52.8
